Temperament|A|Bb|B|C|C#|D|Eb|E|F|F#|G|G# (Thesse values are the cents deviation from the Equal temperament scale)
Silbermann (-1/6)|0|8.147|-3.258|4.889|-6.517|1.63|9.777|-1.629|6.518|-4.888|3.259|-8.146
Silbermann (1/6)|0|9.775|-3.91|5.865|-7.82|1.955|11.73|-1.955|7.82|-5.865|3.91|-9.775
Sorge|0|3.91|1.955|5.865|1.955|1.955|3.91|0|3.91|1.955|3.91|3.91
Stanhope (1801)|0|5.865|-3.91|9.775|0|5.865|3.91|-5.865|7.82|-1.955|11.73|1.955
Syntonic comma (2-Split)|0|22.484|3.91|15.641|-13.686|8.798|31.282|1.955|13.686|-4.888|17.596|-11.731
Syntonic comma (4-Split)|0|6.354|-6.844|10.264|-3.91|3.421|4.399|-3.422|8.309|-10.265|6.842|2.444
Syntonic comma (5-Split)|0|4.692|-1.173|7.038|1.173|2.346|3.519|-2.346|5.865|0|4.692|2.346
Trost (Johann Caspar, 1677)|0|3.421|-13.685|-3.421|-6.842|3.422|-6.842|-3.421|0|-3.421|-6.842|-10.263
Valotti (1754)|0|5.865|-3.91|5.865|0|1.955|3.91|-1.955|7.82|-1.955|3.91|1.955
Van Zwolle|0|-9.775|3.91|-5.865|-15.64|-1.955|-11.73|1.955|-7.82|-17.595|-3.91|-13.685
Veroli (Ordinaire)|0|4.401|-6.844|10.266|-8.799|3.422|-1.464|-3.422|8.311|-8.799|6.844|-6.844
Werckmeister I|0|1.955|-1.955|0|-3.91|3.91|0|-3.91|3.91|0|1.955|-7.82
Werckmeister II|0|13.685|-3.91|9.775|-7.82|5.865|3.91|1.955|7.82|-1.955|3.91|-5.865
Werckmeister III|0|7.82|3.91|11.73|1.955|3.91|5.865|1.955|9.775|0|7.82|3.91
Werckmeister IV|0|6.981|3.91|7.539|-2.236|-5.307|5.026|1.955|5.584|2.513|6.09|-0.281
Wiegleb|0|3.91|-1.955|5.865|-1.955|1.955|1.955|0|5.865|-3.91|3.91|0
Wiegleb (1790)|0|5.865|-0.977|8.798|0|2.933|3.911|0|7.82|-1.955|5.865|1.956
Young I|0|5.865|-1.955|5.865|0|1.955|3.91|-1.955|5.865|-1.955|3.91|1.955
Young II|0|1.955|-3.91|5.865|-3.91|1.955|0|-1.955|3.91|-5.865|3.91|-1.955
Zarlino (-2/7)|0|20.948|-8.38|12.569|-16.759|4.19|25.138|-4.19|16.758|-12.569|8.379|-20.949
